agecell,age,over21,all,mva,suicide,homicide,internal,alcohol,ext_oth,age2,over_age,over_age2
19.068493,-1.9315071,0,92.8254,35.829327,11.203714,16.316818,16.61759,0.63913804,12.85796,3.7307198,-0.0,0.0
19.150684,-1.8493156,0,95.10074,35.639256,12.193368,16.859964,18.327684,0.6774093,12.080471,3.4199684,-0.0,0.0
19.232876,-1.7671242,0,92.144295,34.20565,11.715812,15.219254,18.911053,0.8664426,12.092522,3.1227279,-0.0,0.0
19.31507,-1.6849308,0,88.42776,32.278957,11.27501,16.742825,16.10177,0.86730844,12.02919,2.8389919,-0.0,0.0
19.39726,-1.6027393,0,88.70494,32.650967,10.984314,14.947726,17.36352,1.0191631,12.758408,2.5687733,-0.0,0.0
19.479452,-1.5205479,0,90.19179,32.721443,12.166634,15.642815,17.872105,1.1713219,11.788788,2.3120658,-0.0,0.0
19.561644,-1.4383564,0,96.22031,36.385197,12.405763,16.263653,16.414942,0.8699163,14.750755,2.068869,-0.0,0.0
19.643835,-1.3561649,0,89.615555,34.187935,10.979514,15.825645,15.977087,1.0979514,12.6453705,1.8391833,-0.0,0.0
19.726027,-1.2739735,0,93.3817,31.910467,11.900103,16.789,17.433271,1.174851,15.348856,1.6230084,-0.0,0.0
19.80822,-1.1917801,0,90.857956,30.576832,11.570638,16.616194,18.2854,0.9484129,13.808891,1.4203398,-0.0,0.0
19.890411,-1.1095886,0,95.81015,33.531654,11.468357,17.278484,18.6076,1.3291142,14.924057,1.2311869,-0.0,0.0
19.972603,-1.0273972,0,94.158066,33.603443,11.631961,16.953773,18.43628,1.2164142,13.532608,1.055545,-0.0,0.0
20.054794,-0.9452057,0,92.4646,31.772816,11.263178,17.199177,19.634459,1.0273844,12.594967,0.8934138,-0.0,0.0
20.136986,-0.8630142,0,98.2456,34.29831,11.928189,17.034826,20.88386,0.9527308,14.100414,0.74479353,-0.0,0.0
20.219177,-0.78082275,0,94.9604,33.32011,11.87005,16.297464,18.473003,1.3740251,14.999775,0.60968417,-0.0,0.0
20.30137,-0.6986294,0,93.38532,32.759403,12.46157,15.940106,18.883484,0.9938675,13.340759,0.488083,-0.0,0.0
20.383562,-0.6164379,0,90.12092,30.589046,11.102407,16.883316,18.56782,1.2250932,12.978329,0.3799957,-0.0,0.0
20.465754,-0.53424644,0,92.40623,31.28775,10.889364,17.33096,19.36313,0.9969136,13.535019,0.28541926,-0.0,0.0
20.547945,-0.45205498,0,93.354485,30.298925,11.482102,16.743132,19.968874,0.960042,14.861452,0.2043537,-0.0,0.0
20.630136,-0.3698635,0,92.22878,30.230118,12.345887,15.884273,19.422657,0.9615177,14.345844,0.13679902,-0.0,0.0
20.712328,-0.28767204,0,92.332245,30.122578,10.978177,17.411003,20.377037,1.0015179,13.443451,0.0827552,-0.0,0.0
20.794521,-0.20547867,0,92.66751,29.74465,11.303739,17.9008,19.521132,1.1959587,14.197187,0.042221483,-0.0,0.0
20.876713,-0.1232872,0,93.3902,30.717916,12.209889,18.160278,18.623945,0.96597224,13.678167,0.015199734,-0.0,0.0
20.958904,-0.041095734,0,94.26991,30.41714,11.880486,17.143503,20.200695,1.2383568,14.628096,0.0016888593,-0.0,0.0
20.99999,-9.536743e-06,0,,,,,,,,9.094947e-11,-0.0,0.0
21.0,0.0,1,,,,,,,,0.0,0.0,0.0
21.041096,0.041095734,1,105.26835,36.316807,12.402751,18.332817,21.937366,2.5193088,16.27861,0.0016888593,0.041095733642578125,0.0016888593090698123
21.123287,0.1232872,1,101.06651,32.575798,14.83189,17.316814,21.121853,1.5919044,15.220161,0.015199734,0.12328720092773438,0.015199733898043633
21.205479,0.20547867,1,96.96652,33.022293,12.213193,16.880655,19.25328,1.3613431,15.597103,0.042221483,0.20547866821289062,0.04222148284316063
