year,state,dtype,mrate,legal,pop,beertax
1970,1,all,153.87047,0.0,189770,1.3737113
1970,1,MVA,62.180534,0.0,189770,1.3737113
1970,1,suicide,2.1078148,0.0,189770,1.3737113
1970,1,homicide,18.443378,0.0,189770,1.3737113
1970,1,other external,26.347685,0.0,189770,1.3737113
1970,1,internal,44.79106,0.0,189770,1.3737113
1971,1,all,161.5352,0.0,195623,1.3160493
1971,1,MVA,62.364857,0.0,195623,1.3160493
1971,1,suicide,7.156623,0.0,195623,1.3160493
1971,1,homicide,18.91393,0.0,195623,1.3160493
1971,1,other external,29.137678,0.0,195623,1.3160493
1971,1,internal,43.962112,0.0,195623,1.3160493
1972,1,all,159.21349,0.0,200988,1.2751197
1972,1,MVA,73.63624,0.0,200988,1.2751197
1972,1,suicide,9.950843,0.0,200988,1.2751197
1972,1,homicide,13.93118,0.0,200988,1.2751197
1972,1,other external,25.87219,0.0,200988,1.2751197
1972,1,internal,35.823032,0.0,200988,1.2751197
1973,1,all,140.88599,0.0,206550,1.2004504
1973,1,MVA,63.4229,0.0,206550,1.2004504
1973,1,suicide,7.262164,0.0,206550,1.2004504
1973,1,homicide,12.103607,0.0,206550,1.2004504
1973,1,other external,28.080368,0.0,206550,1.2004504
1973,1,internal,30.016945,0.0,206550,1.2004504
1974,1,all,143.09831,0.0,213839,1.0811359
1974,1,MVA,60.32576,0.0,213839,1.0811359
1974,1,suicide,5.6116986,0.0,213839,1.0811359
1974,1,homicide,14.029246,0.0,213839,1.0811359
1974,1,other external,28.058493,0.0,213839,1.0811359
1974,1,internal,35.073116,0.0,213839,1.0811359
1975,1,all,147.94107,0.2939954,220358,0.9907063
1975,1,MVA,49.91877,0.2939954,220358,0.9907063
1975,1,suicide,10.437561,0.2939954,220358,0.9907063
1975,1,homicide,19.5137,0.2939954,220358,0.9907063
1975,1,other external,29.497454,0.2939954,220358,0.9907063
1975,1,internal,38.573593,0.2939954,220358,0.9907063
1976,1,all,132.60246,0.6650701,225486,0.93673104
1976,1,MVA,49.67049,0.6650701,225486,0.93673104
1976,1,suicide,8.426244,0.6650701,225486,0.93673104
1976,1,homicide,14.635055,0.6650701,225486,0.93673104
1976,1,other external,30.600569,0.6650701,225486,0.93673104
1976,1,internal,29.27011,0.6650701,225486,0.93673104
1977,1,all,145.82703,0.6684675,227667,0.87953794
1977,1,MVA,65.007225,0.6684675,227667,0.87953794
1977,1,suicide,12.737903,0.6684675,227667,0.87953794
1977,1,homicide,16.251806,0.6684675,227667,0.87953794
1977,1,other external,29.868185,0.6684675,227667,0.87953794
1977,1,internal,21.9619,0.6684675,227667,0.87953794
1978,1,all,138.74785,0.6671846,228472,0.8174847
1978,1,MVA,69.59277,0.6671846,228472,0.8174847
1978,1,suicide,8.753808,0.6671846,228472,0.8174847
1978,1,homicide,13.568402,0.6671846,228472,0.8174847
1978,1,other external,21.446829,0.6671846,228472,0.8174847
1978,1,internal,25.386044,0.6671846,228472,0.8174847
1979,1,all,135.4117,0.66809237,228193,0.73415977
1979,1,MVA,59.598675,0.66809237,228193,0.73415977
1979,1,suicide,9.640962,0.66809237,228193,0.73415977
1979,1,homicide,15.3378935,0.66809237,228193,0.73415977
1979,1,other external,28.922886,0.66809237,228193,0.73415977
1979,1,internal,21.911278,0.66809237,228193,0.73415977
1980,1,all,120.107574,0.6722586,229794,0.6468446
1980,1,MVA,42.21172,0.6722586,229794,0.6468446
1980,1,suicide,9.138619,0.6722586,229794,0.6468446
1980,1,homicide,14.79586,0.6722586,229794,0.6468446
1980,1,other external,24.804825,0.6722586,229794,0.6468446
1980,1,internal,29.15655,0.6722586,229794,0.6468446
1981,1,all,105.873344,0.67920816,228575,0.5863586
1981,1,MVA,47.24926,0.67920816,228575,0.5863586
1981,1,suicide,10.499836,0.67920816,228575,0.5863586
1981,1,homicide,13.124795,0.67920816,228575,0.5863586
1981,1,other external,20.124685,0.67920816,228575,0.5863586
1981,1,internal,14.874767,0.67920816,228575,0.5863586
1982,1,all,118.3074,0.67590886,224838,0.5523316
1982,1,MVA,48.034584,0.67590886,224838,0.5523316
1982,1,suicide,5.3371763,0.67590886,224838,0.5523316
1982,1,homicide,21.348705,0.67590886,224838,0.5523316
1982,1,other external,14.23247,0.67590886,224838,0.5523316
1982,1,internal,29.35447,0.67590886,224838,0.5523316
1983,1,all,128.15288,0.6796314,220830,0.5351406
1983,1,MVA,53.887608,0.6796314,220830,0.5351406
1983,1,suicide,11.320926,0.6796314,220830,0.5351406
1983,1,homicide,12.2266,0.6796314,220830,0.5351406
1983,1,other external,25.358873,0.6796314,220830,0.5351406
1983,1,internal,25.358873,0.6796314,220830,0.5351406
1970,2,all,297.78625,0.2415109,17798,0.6443299
1970,2,MVA,61.8047,0.2415109,17798,0.6443299
1970,2,suicide,22.474436,0.2415109,17798,0.6443299
1970,2,homicide,5.618609,0.2415109,17798,0.6443299
1970,2,other external,157.32104,0.2415109,17798,0.6443299
1970,2,internal,50.56748,0.2415109,17798,0.6443299
1971,2,all,249.0462,0.7000848,18872,0.61728394
1971,2,MVA,37.091988,0.7000848,18872,0.61728394
1971,2,suicide,26.494278,0.7000848,18872,0.61728394
1971,2,homicide,21.195421,0.7000848,18872,0.61728394
1971,2,other external,148.36795,0.7000848,18872,0.61728394
1971,2,internal,15.896566,0.7000848,18872,0.61728394
1972,2,all,201.34229,0.7017737,20860,0.5980861
1972,2,MVA,47.938637,0.7017737,20860,0.5980861
1972,2,suicide,28.763184,0.7017737,20860,0.5980861
1972,2,homicide,0.0,0.7017737,20860,0.5980861
1972,2,other external,115.052734,0.7017737,20860,0.5980861
1972,2,internal,9.587728,0.7017737,20860,0.5980861
1973,2,all,225.20534,0.7067032,22646,0.563063
1973,2,MVA,57.40528,0.7067032,22646,0.563063
1973,2,suicide,44.15791,0.7067032,22646,0.563063
1973,2,homicide,13.247373,0.7067032,22646,0.563063
1973,2,other external,97.1474,0.7067032,22646,0.563063
1973,2,internal,13.247373,0.7067032,22646,0.563063
1974,2,all,239.00981,0.7087495,23430,0.5070994
1974,2,MVA,34.14426,0.7087495,23430,0.5070994
1974,2,suicide,38.412292,0.7087495,23430,0.5070994
1974,2,homicide,4.2680326,0.7087495,23430,0.5070994
1974,2,other external,115.23688,0.7087495,23430,0.5070994
1974,2,internal,46.948357,0.7087495,23430,0.5070994
1975,2,all,234.36584,0.7029413,25601,0.464684
1975,2,MVA,50.779266,0.7029413,25601,0.464684
1975,2,suicide,58.59146,0.7029413,25601,0.464684
1975,2,homicide,0.0,0.7029413,25601,0.464684
1975,2,other external,109.37073,0.7029413,25601,0.464684
1975,2,internal,15.62439,0.7029413,25601,0.464684
1976,2,all,295.5956,0.7082102,27064,0.4393673
1976,2,MVA,81.288795,0.7082102,27064,0.4393673
1976,2,suicide,36.94945,0.7082102,27064,0.4393673
1976,2,homicide,25.864616,0.7082102,27064,0.4393673
1976,2,other external,136.71298,0.7082102,27064,0.4393673
1976,2,internal,14.779781,0.7082102,27064,0.4393673
1977,2,all,261.1161,0.7183303,26808,0.41254127
1977,2,MVA,74.6046,0.7183303,26808,0.41254127
1977,2,suicide,37.3023,0.7183303,26808,0.41254127
