sob,yob,year,lnwkwage,indEduc,cl7,cl8,cl9,weight,n
1,1900,1950,3.7722916989476567,7.428592,0,0,0,6862.0,21
1,1901,1950,3.7521976023322656,8.464196,0,0,0,9147.0,28
1,1902,1950,4.1296562485845225,7.740741,0,0,0,8829.0,27
1,1903,1950,3.896770809207071,9.296023,0,0,0,8827.0,27
1,1904,1950,3.726548646598207,9.088103,0,0,0,11112.0,34
1,1905,1950,3.815709888622197,9.1238165,0,0,0,10459.0,32
1,1906,1950,3.8515580266089744,8.048422,0,0,0,13403.0,41
1,1907,1950,3.694238395127999,8.750335,0,0,0,10458.0,32
1,1908,1950,3.631344341618516,8.617115,0,0,0,11113.0,34
1,1909,1950,3.9062915905022892,7.9427547,0,0,0,11442.0,35
1,1910,1960,4.311036582105973,8.952377,0,0,0,12158.0,122
1,1911,1960,4.374305610406641,9.481164,0,0,0,10963.0,110
1,1912,1960,4.443384548883971,9.599736,0,0,0,13636.0,137
1,1913,1960,4.42640556519034,9.513707,0,0,0,12256.0,123
1,1914,1960,4.495950409730262,9.754471,0,0,0,14259.0,143
1,1915,1960,4.409759322952364,9.432387,0,0,0,13141.0,132
1,1916,1960,4.374244977069154,9.219992,0,0,0,14546.0,146
1,1917,1960,4.46287555308236,9.686786,0,0,0,15839.0,159
1,1918,1960,4.618852391850186,10.290573,0,0,0,14055.0,141
1,1919,1960,4.528887323799618,9.84502,0,0,0,16628.0,167
1,1920,1970,4.990267733834402,10.510521,0,1,0,15873.0,317
1,1921,1970,4.960152994136621,10.281799,0,1,0,13373.0,267
1,1922,1970,5.012711260522152,10.391626,0,1,0,14318.5,286
1,1923,1970,4.99536376693299,10.603204,0,1,0,12923.5,258
1,1924,1970,4.969902558906798,10.425126,0,1,0,14367.5,287
1,1925,1970,5.060013181677659,10.813116,0,1,0,15873.5,317
1,1926,1970,4.9884220079800325,10.843141,0,1,0,14972.0,299
1,1927,1970,5.009396652431413,10.8933325,0,1,0,17128.0,342
1,1928,1970,4.943144471238625,10.852222,0,1,0,16623.0,332
1,1929,1970,5.056869696359327,11.243478,0,1,0,16079.5,321
1,1930,1980,5.746148776384019,11.580219,0,1,0,14610.0,730
1,1931,1980,5.807370843622633,11.523126,0,1,0,14767.0,738
1,1932,1980,5.7670644404486735,11.6831045,0,1,0,15472.0,773
1,1933,1980,5.745860502412128,11.830954,0,1,0,14706.0,735
1,1934,1980,5.808438809903694,11.752972,0,1,0,15229.0,761
1,1935,1980,5.757470370564331,11.897686,0,0,1,15472.0,773
1,1936,1980,5.767690651822589,11.886316,0,0,1,15332.0,766
1,1937,1980,5.784257351924163,11.866945,0,0,1,16730.0,836
1,1938,1980,5.779659263919711,12.000312,0,0,1,16012.0,800
1,1939,1980,5.769233654700768,12.139831,0,0,1,16191.0,809
1,1940,1990,6.376603161217371,12.745801,0,0,1,13100.0,131
1,1941,1990,6.311629765533372,12.299765,0,0,1,17000.0,170
1,1942,1990,6.321222569311924,13.036897,0,0,1,17400.0,174
1,1943,1990,6.36184573649208,13.383494,0,0,1,18600.0,186
1,1944,1990,6.394815469217609,12.692428,0,0,1,17300.0,173
1,1945,1990,6.474685139981043,13.2623415,0,0,1,15800.0,158
1,1946,1990,6.368600079564332,13.456507,0,0,1,22900.0,229
1,1947,1990,6.302707166646327,13.117412,0,0,1,22800.0,228
1,1948,1990,6.280808117283185,13.35699,0,0,1,19600.0,196
1,1949,1990,6.307545684880479,13.519321,0,0,1,17700.0,177
4,1900,1950,4.0420761336763436,12.0,0,0,0,327.0,1
4,1901,1950,4.614739637004242,9.0,0,0,0,327.0,1
4,1902,1950,4.141048977532149,8.0,0,0,0,654.0,2
4,1903,1950,4.37128890969238,8.0,0,0,0,654.0,2
4,1904,1950,3.0798195141503855,7.0,0,0,0,654.0,2
4,1905,1950,4.110002379775227,10.499745,0,0,0,1961.0,6
4,1906,1950,4.385088134912267,9.801714,0,0,0,1634.0,5
4,1907,1950,4.317284342587031,6.2,0,0,0,1635.0,5
4,1908,1950,4.38453093557866,16.666666,0,0,0,981.0,3
4,1909,1950,4.075474794622536,9.497515,0,0,0,2615.0,8
4,1910,1960,4.431543347914045,10.054648,0,0,0,1592.0,16
4,1911,1960,4.443703231499027,8.620452,0,0,0,1594.0,16
4,1912,1960,4.688727816882357,9.72154,0,0,0,1792.0,18
4,1913,1960,4.6683791497465625,10.312367,0,0,0,1892.0,19
4,1914,1960,4.676632302417628,10.2365675,0,0,0,2494.0,25
4,1915,1960,4.871191699357809,10.997496,0,0,0,1198.0,12
4,1916,1960,4.983036182123688,10.458808,0,0,0,1493.0,15
4,1917,1960,4.823041603544344,10.783749,0,0,0,2289.0,23
