minscore,pass_exam,receivehsd,avgearnings,n,person_years,left_1,right_1,left_2,right_2,left_3,right_3,left_4,right_4
-30.0,0,0.41666666,11845.086,12,24.0,-30.0,-0.0,900.0,0.0,-27000.0,-0.0,810000.0,0.0
-29.0,0,0.38709676,9205.679,31,104.0,-29.0,-0.0,841.0,0.0,-24389.0,-0.0,707281.0,0.0
-28.0,0,0.3181818,8407.745,44,146.0,-28.0,-0.0,784.0,0.0,-21952.0,-0.0,614656.0,0.0
-27.0,0,0.37777779,11114.087,45,137.0,-27.0,-0.0,729.0,0.0,-19683.0,-0.0,531441.0,0.0
-26.0,0,0.30666667,10814.624,75,227.0,-26.0,-0.0,676.0,0.0,-17576.0,-0.0,456976.0,0.0
-25.0,0,0.3018868,11666.925,106,341.0,-25.0,-0.0,625.0,0.0,-15625.0,-0.0,390625.0,0.0
-24.0,0,0.38059703,11336.057,134,419.0,-24.0,-0.0,576.0,0.0,-13824.0,-0.0,331776.0,0.0
-23.0,0,0.275,10719.352,160,479.0,-23.0,-0.0,529.0,0.0,-12167.0,-0.0,279841.0,0.0
-22.0,0,0.26666668,10684.487,180,550.0,-22.0,-0.0,484.0,0.0,-10648.0,-0.0,234256.0,0.0
-21.0,0,0.23673469,10342.762,245,756.0,-21.0,-0.0,441.0,0.0,-9261.0,-0.0,194481.0,0.0
-20.0,0,0.26335877,11012.137,262,839.0,-20.0,-0.0,400.0,0.0,-8000.0,-0.0,160000.0,0.0
-19.0,0,0.28783384,11721.943,337,1029.0,-19.0,-0.0,361.0,0.0,-6859.0,-0.0,130321.0,0.0
-18.0,0,0.28350514,11712.557,388,1175.0,-18.0,-0.0,324.0,0.0,-5832.0,-0.0,104976.0,0.0
-17.0,0,0.26444444,10564.079,450,1424.0,-17.0,-0.0,289.0,0.0,-4913.0,-0.0,83521.0,0.0
-16.0,0,0.29554656,10737.608,494,1549.0,-16.0,-0.0,256.0,0.0,-4096.0,-0.0,65536.0,0.0
-15.0,0,0.30993152,11423.25,584,1854.0,-15.0,-0.0,225.0,0.0,-3375.0,-0.0,50625.0,0.0
