state,year,treated,post,avg_schooling,avg_earnings
1,1995,1,0,10.8679,9.4371
1,1996,1,0,11.0334,9.4369
1,1997,1,0,10.9592,9.4408
1,1998,1,0,10.8997,9.4848
1,1999,1,0,11.0995,9.5002
1,2000,1,0,10.9765,9.4894
1,2001,1,0,11.1697,9.5779
1,2002,1,0,11.2012,9.5378
1,2003,1,0,11.1652,9.6303
1,2004,1,0,11.1978,9.5766
1,2005,1,1,11.6493,9.653
1,2006,1,1,11.845,9.6604
1,2007,1,1,11.8189,9.7312
1,2008,1,1,11.8404,9.7235
1,2009,1,1,11.9054,9.7487
1,2010,1,1,11.91,9.7698
1,2011,1,1,11.9666,9.7099
1,2012,1,1,12.0948,9.7625
1,2013,1,1,12.0228,9.8055
1,2014,1,1,12.1132,9.8775
2,1995,1,0,11.2364,9.4536
2,1996,1,0,11.3608,9.5214
2,1997,1,0,11.1909,9.4963
2,1998,1,0,11.3206,9.5203
2,1999,1,0,11.3949,9.5671
2,2000,1,0,11.3118,9.5328
2,2001,1,0,11.4984,9.5982
2,2002,1,0,11.3755,9.5717
2,2003,1,0,11.4033,9.6091
2,2004,1,0,11.5827,9.6344
2,2005,1,1,12.03,9.6838
2,2006,1,1,12.0705,9.6824
2,2007,1,1,12.0726,9.6854
2,2008,1,1,12.1203,9.7309
2,2009,1,1,12.1464,9.8141
2,2010,1,1,12.2282,9.7985
2,2011,1,1,12.1369,9.8192
2,2012,1,1,12.3483,9.8071
2,2013,1,1,12.2452,9.7879
2,2014,1,1,12.4015,9.878
3,1995,1,0,11.1724,9.7072
3,1996,1,0,11.2706,9.7369
3,1997,1,0,11.1488,9.7644
3,1998,1,0,11.2486,9.7755
3,1999,1,0,11.2113,9.8655
3,2000,1,0,11.2795,9.8001
3,2001,1,0,11.5546,9.816
3,2002,1,0,11.4492,9.8468
3,2003,1,0,11.4361,9.8414
3,2004,1,0,11.3582,9.9496
3,2005,1,1,11.8696,9.9078
3,2006,1,1,12.1191,9.9387
3,2007,1,1,11.9854,10.0018
3,2008,1,1,12.1764,9.9878
3,2009,1,1,12.0412,10.0373
3,2010,1,1,11.9904,10.0582
3,2011,1,1,12.1684,10.0655
3,2012,1,1,12.1394,10.067
3,2013,1,1,12.2115,10.122
3,2014,1,1,12.1978,10.0902
4,1995,1,0,10.8504,9.398
4,1996,1,0,10.8107,9.4476
4,1997,1,0,10.8393,9.4263
4,1998,1,0,10.7735,9.5159
4,1999,1,0,10.8342,9.5491
4,2000,1,0,10.9934,9.58
4,2001,1,0,10.9411,9.5699
4,2002,1,0,10.9618,9.5658
4,2003,1,0,11.1163,9.6025
4,2004,1,0,10.9509,9.6795
4,2005,1,1,11.4829,9.6979
4,2006,1,1,11.5958,9.6981
4,2007,1,1,11.5298,9.7373
4,2008,1,1,11.5407,9.7818
4,2009,1,1,11.685,9.7413
4,2010,1,1,11.5257,9.7468
4,2011,1,1,11.6337,9.7638
4,2012,1,1,11.6798,9.8357
4,2013,1,1,11.7997,9.897
4,2014,1,1,11.8031,9.8256
5,1995,1,0,11.0739,9.4478
5,1996,1,0,11.2233,9.449
5,1997,1,0,11.2755,9.4878
5,1998,1,0,11.2223,9.4263
5,1999,1,0,11.2691,9.4969
5,2000,1,0,11.3071,9.5137
5,2001,1,0,11.3536,9.5395
5,2002,1,0,11.2043,9.4767
5,2003,1,0,11.4122,9.5409
5,2004,1,0,11.443,9.5333
5,2005,1,1,11.9683,9.6498
5,2006,1,1,11.9271,9.6447
5,2007,1,1,11.9922,9.6223
5,2008,1,1,12.1166,9.6991
5,2009,1,1,12.0773,9.7302
5,2010,1,1,12.2189,9.7213
5,2011,1,1,12.1108,9.7193
5,2012,1,1,12.0869,9.761
5,2013,1,1,12.2018,9.848
5,2014,1,1,12.3246,9.8346
6,1995,1,0,11.2732,9.301
6,1996,1,0,11.1698,9.3982
6,1997,1,0,11.3507,9.3592
6,1998,1,0,11.2515,9.3509
6,1999,1,0,11.4804,9.42
6,2000,1,0,11.3949,9.4773
6,2001,1,0,11.6447,9.4438
6,2002,1,0,11.4105,9.4487
6,2003,1,0,11.4737,9.549
6,2004,1,0,11.5497,9.5317
6,2005,1,1,12.212,9.5612
6,2006,1,1,12.2289,9.6139
6,2007,1,1,12.1672,9.6213
6,2008,1,1,12.258,9.6251
6,2009,1,1,12.2592,9.6839
6,2010,1,1,12.2974,9.625
6,2011,1,1,12.1497,9.7042
6,2012,1,1,12.3038,9.7667
6,2013,1,1,12.4147,9.7422
6,2014,1,1,12.328,9.7227
7,1995,1,0,11.2158,9.4916
7,1996,1,0,11.2501,9.5373
7,1997,1,0,11.3062,9.5381
7,1998,1,0,11.2329,9.566
7,1999,1,0,11.1359,9.5989
7,2000,1,0,11.4121,9.5847
7,2001,1,0,11.2899,9.565
7,2002,1,0,11.2821,9.712
7,2003,1,0,11.395,9.6506
7,2004,1,0,11.3576,9.6555
7,2005,1,1,12.0093,9.784
7,2006,1,1,11.9462,9.7289
7,2007,1,1,12.0773,9.7726
7,2008,1,1,11.9062,9.7513
7,2009,1,1,12.1282,9.8441
7,2010,1,1,12.1474,9.8203
7,2011,1,1,12.1215,9.8722
7,2012,1,1,12.0653,9.866
7,2013,1,1,12.0582,9.9274
