earnings,schooling,ability,occupation
9.3001,15,1.668,3
8.2961,13,0.7373,1
8.0887,14,-0.2015,3
7.9068,12,-0.1509,2
8.846,16,0.9161,2
8.4632,14,1.1603,2
7.8276,6,-2.62,1
8.1215,9,-1.3253,1
8.6091,11,0.46,1
8.2111,10,0.1021,1
8.6706,14,1.0536,2
8.8256,15,1.624,3
7.8224,7,-1.5006,1
7.9848,10,-0.2778,1
8.6144,15,1.194,2
8.5005,14,0.8618,2
8.1632,12,-0.417,1
8.3585,10,-0.2495,1
8.2711,12,0.9437,1
8.0767,11,-0.7663,2
8.4189,12,0.2082,2
9.004,14,1.4087,3
8.2872,9,-1.4891,1
7.4553,10,-1.4758,1
8.5595,13,0.9908,2
8.4988,12,-0.8832,2
8.4981,14,-0.3662,2
8.491,9,-1.5347,1
8.5816,14,-0.3516,2
8.2303,11,0.6399,2
8.7431,12,0.6892,2
8.4975,13,0.7573,2
7.5234,9,-1.4305,1
8.1886,11,-0.4289,1
8.5743,14,-0.685,3
8.5377,13,-0.1256,1
8.504,12,1.1446,2
8.4307,15,0.3272,2
8.1177,13,-0.1367,2
8.4151,13,0.1792,3
8.4982,13,0.969,2
8.1282,10,0.0059,1
8.7018,16,0.5905,3
8.327,11,-0.3925,1
8.3269,15,0.0359,3
8.5245,14,-0.3308,2
8.6312,15,0.8088,2
8.3615,12,0.0533,1
8.2637,13,-1.3189,1
8.0042,11,-1.0798,2
7.9176,9,-0.376,1
8.8648,13,0.1487,1
9.0987,18,1.8149,3
8.5375,12,0.5525,1
8.0762,11,-0.5392,1
8.4367,12,0.9271,2
8.6226,16,1.1989,2
8.3931,11,0.018,1
8.7871,13,1.0159,2
7.6739,10,-1.1843,1
9.1976,15,1.7641,3
8.3217,11,-0.7679,2
8.2733,12,0.2612,1
8.3531,11,-1.4859,1
9.0979,14,0.4639,3
8.1602,11,0.6841,1
7.5546,6,-2.3869,1
8.2776,10,-0.0075,1
8.3413,9,-0.5469,1
7.823,12,0.4749,1
8.0617,9,-1.5315,1
8.8549,17,1.9226,3
8.2571,10,-0.1457,1
8.7798,12,-0.3031,2
8.0586,11,-0.9096,1
8.4797,13,1.0077,2
8.9492,15,1.5965,3
8.0423,10,-1.2903,1
8.3837,10,-0.5084,1
8.5938,13,0.9322,1
8.55,13,0.4952,2
8.0643,11,-0.7973,3
8.62,14,0.249,2
8.96,16,0.996,3
7.6909,8,-0.8984,1
8.4008,13,0.5353,2
9.11,16,1.0821,3
8.2745,13,0.0926,1
7.7103,11,-0.6354,1
9.1134,16,0.592,3
8.1589,10,-0.4584,1
9.3339,20,2.3983,4
8.4556,13,-1.004,3
8.3873,13,0.3252,1
8.857,16,1.3994,3
9.0124,12,-0.4474,2
7.6419,8,-1.2273,1
8.0872,11,-1.1033,1
7.5007,8,-0.8479,1
7.8045,8,-0.5456,1
8.2841,11,0.0872,2
8.1601,15,0.1039,2
9.0431,16,0.6899,3
8.3884,13,0.4706,2
8.1803,8,-1.6105,1
8.9061,16,1.1282,2
8.7238,13,-0.7049,3
7.8669,8,-1.6322,1
7.8862,13,0.4013,1
8.3879,10,-0.145,1
7.915,13,-0.6198,2
8.7365,13,-0.5046,2
8.6765,13,0.9186,2
7.9422,10,-0.0207,1
8.4629,16,-0.1728,2
8.5349,13,0.2175,3
8.0618,7,-1.3067,1
8.1468,11,0.0813,1
8.454,10,-0.2473,1
8.426,15,0.8113,2
8.1879,9,0.1097,1
8.4676,14,1.8945,2
8.5734,15,0.5902,3
8.6056,12,0.1834,2
8.1355,9,-0.6287,1
8.307,7,-1.1113,1
7.9032,9,-0.952,1
9.0459,16,1.7778,2
8.7926,15,0.5538,3
8.1875,11,-0.3608,1
8.4931,13,1.2818,2
8.2377,8,-2.0513,1
7.9708,10,-0.8848,1
7.8807,10,-0.2035,1
7.4535,7,-2.6054,1
9.0266,17,1.6258,3
8.3249,15,1.4729,2
7.7312,10,-0.5051,1
7.9255,9,0.0445,1
8.2396,10,-0.1903,1
8.5721,16,1.3032,3
8.3912,12,0.887,2
8.6179,13,0.0528,2
8.7915,15,2.4599,2
7.933,8,-0.9442,1
7.96,8,-0.387,1
9.1561,14,0.5195,2
8.5295,14,0.3733,2
8.5824,12,0.6917,1
8.4774,11,-0.0519,1
8.932,13,1.094,2
8.7452,14,0.9605,2
9.2704,15,0.9608,3
8.6209,13,0.2644,1
8.9697,16,1.1083,2
8.3831,11,-0.5964,1
8.9613,15,1.6044,2
8.3289,11,0.4423,2
7.7842,12,0.653,2
8.2307,10,-1.4467,1
7.9539,7,-1.415,1
7.7803,9,-1.2662,1
8.8539,14,1.4268,2
8.8212,15,-0.3669,2
8.039,9,-0.8823,1
8.8229,13,0.1812,1
8.1043,7,-2.5106,1
9.3654,18,2.6995,4
9.112,15,1.6394,1
8.8297,12,-0.0606,2
8.5376,13,-0.2261,2
8.6887,13,0.5729,2
8.3138,15,0.4308,1
8.9416,13,0.3342,3
7.8973,9,-0.0911,1
8.9328,15,0.6353,3
8.4726,13,0.2368,1
8.6318,11,-0.3822,3
8.3125,10,-0.5753,2
9.1724,15,1.0768,2
8.4132,10,0.0731,1
8.2108,14,-0.0682,2
7.8771,8,-0.7874,1
8.3589,13,-0.4707,2
8.1877,12,-0.1829,1
8.562,12,-0.2403,2
8.0043,12,0.3387,1
8.6135,11,0.165,1
8.5921,12,-0.0961,2
8.8809,13,-0.258,1
7.9829,10,-0.1829,1
8.7158,15,1.0402,2
8.2183,11,-0.0883,1
8.8719,15,1.8456,3
9.1684,14,1.1082,3
8.0954,12,-1.0158,1
8.4504,9,-1.0355,1
8.5483,16,2.2041,2
7.8335,10,-1.0179,2
7.6586,8,-2.2738,1
8.9328,15,1.0705,3
9.046,17,2.1052,4
8.4109,14,-0.272,2
7.9606,13,0.3199,1
9.2226,12,-0.4262,2
8.7104,14,0.9966,2
8.6063,12,1.0893,2
7.7845,6,-3.3306,1
8.571,14,0.5152,2
8.3562,11,-0.9889,2
8.16,13,1.1188,3
8.5723,9,-1.2484,1
8.7359,13,0.2995,1
8.1227,11,-0.1834,2
8.0565,13,-0.712,2
8.214,10,-1.3831,1
8.2444,8,-1.3649,1
8.1319,10,-0.4799,1
8.1,9,-0.6504,1
8.8145,15,1.8697,3
8.5695,14,-0.166,2
8.4348,15,0.6426,2
7.6349,9,-1.022,1
8.0161,10,-0.9741,2
8.0522,11,-0.7728,1
8.4748,12,0.3191,1
8.3937,8,-0.5052,1
7.6795,9,-0.8562,1
8.9164,15,0.3606,3
7.7896,9,-0.6656,1
8.1107,11,-0.6257,2
8.0571,7,-1.3472,1
7.9273,11,-0.5674,1
8.3447,10,-0.7702,1
8.5358,12,-0.9915,2
8.4135,12,0.3102,2
7.9285,14,-0.366,2
9.0635,14,0.2557,3
8.6807,17,1.2613,2
9.0236,14,1.0265,1
7.7532,9,-1.8117,2
8.7446,12,0.1134,1
8.3263,8,-0.7788,1
8.6596,12,-0.1578,2
8.4045,12,0.9845,1
8.4481,12,0.3182,1
8.3392,9,-0.1627,1
8.0493,9,-0.1861,2
8.7619,13,0.0057,2
7.7517,9,-1.4663,1
7.8489,10,-0.1526,1
9.2089,15,1.1331,3
7.9947,10,-0.7778,1
8.2581,13,-0.0056,2
8.625,15,1.1724,3
9.3301,18,1.9602,3
7.6324,8,-2.1219,1
8.5904,13,-0.3795,2
7.9718,11,-0.9753,2
8.3681,12,-0.6985,2
8.6828,15,1.294,2
8.702,13,0.018,1
8.1191,9,-0.083,1
