earnings,schooling,ability,scholarship
9.8298,16,1.2336,1
8.7454,12,0.03,0
8.712,14,0.5977,0
9.099,16,-0.0372,1
8.6737,11,-1.1006,0
9.2677,14,-0.1369,1
8.5457,9,-1.7047,0
8.8198,13,-0.5709,1
9.2868,13,0.0214,0
8.895,14,-0.3928,0
8.2883,10,-0.1527,0
9.0283,14,0.9294,0
9.1095,13,-0.3628,1
8.5819,11,-0.8366,0
8.9213,14,-0.4898,1
9.2997,16,-0.1089,1
8.9114,13,-0.1425,1
8.3789,10,-0.703,0
9.1874,15,0.8683,0
9.1078,14,-0.5802,1
9.0885,11,0.0008,0
9.0084,14,0.3885,1
9.5923,14,0.4612,1
8.5289,10,-1.7691,0
9.3871,16,0.4973,1
9.076,15,0.1089,1
9.2003,11,-0.6008,0
9.1673,14,1.347,0
8.9309,12,-0.3037,0
9.192,11,-1.0809,1
8.9845,12,0.3914,0
8.9581,11,0.4607,0
9.4194,14,0.2377,1
8.3044,8,-2.0475,0
8.6898,11,-0.2448,0
8.552,11,-1.6659,0
9.0481,13,0.1673,0
9.452,15,1.4418,0
8.7494,11,-0.8962,1
9.5427,16,1.0937,1
9.2864,13,-0.2167,0
9.3858,16,1.7364,1
9.1176,14,1.5201,0
8.7423,10,0.439,0
9.0425,12,-0.974,0
8.937,14,-0.4959,1
8.9799,11,-1.692,1
9.272,15,-0.6312,0
8.6869,12,-1.9156,1
9.1442,14,1.5174,0
9.5219,17,0.9037,1
9.0745,13,0.5802,0
8.8389,12,-0.5823,1
8.7651,11,-1.0494,0
8.8442,12,0.1168,0
9.9742,17,1.7147,1
8.8673,12,-0.7382,1
9.1922,14,-0.4354,0
8.7301,13,-0.5164,1
8.8949,14,0.1101,1
9.5399,16,0.519,0
8.3703,9,-1.6328,0
9.0112,14,-0.874,1
8.6756,12,-1.3591,1
8.3624,13,-1.4683,1
9.0651,11,-0.2006,0
9.3047,15,0.884,1
8.6152,12,-1.2672,0
9.3005,14,0.9811,1
9.0082,10,-0.0578,0
9.2849,15,-0.6532,1
9.4017,13,0.1595,1
9.6034,15,1.1082,1
8.9804,10,-1.8645,0
8.9483,13,-1.0229,0
8.3147,10,-0.5392,0
9.5985,13,0.6808,0
8.7232,8,-2.5956,0
8.4621,10,-0.4956,0
9.1841,14,-0.1114,1
8.968,14,0.7592,0
8.9157,14,-0.0565,1
8.6905,12,-0.1029,0
9.4138,15,1.2449,1
8.6299,13,-1.2153,1
9.3478,13,0.3194,0
8.7694,11,-1.6955,1
9.1705,13,0.3997,1
7.9274,6,-2.3304,0
8.5603,10,-2.0093,0
8.8066,13,-0.5539,0
9.1463,12,0.3846,1
9.0592,14,0.7223,0
8.889,12,-0.7058,1
9.5456,18,2.1053,1
8.3312,8,-2.0196,1
9.1655,14,0.6808,1
9.3147,12,-0.3844,0
9.203,11,-0.6545,0
9.0063,12,-0.3097,0
9.4893,16,-0.1472,1
9.1662,15,1.0513,0
8.9464,13,-0.8884,1
8.8595,11,-0.8491,0
9.1548,11,-0.652,0
9.1053,13,0.2854,1
9.3826,18,0.8856,1
9.535,16,1.8274,1
8.4594,8,-2.4355,0
8.6603,12,-1.6366,0
8.6318,11,-1.3449,1
8.8272,13,0.2615,0
8.9229,15,0.4866,1
8.8272,10,-1.1281,0
8.7299,12,0.8772,0
8.8632,14,-0.3765,1
8.4916,12,-0.7957,1
9.1063,12,-0.7624,0
8.8675,11,-0.9284,0
8.6127,11,-0.1848,0
8.3522,10,0.0982,0
8.7137,12,-0.4212,1
9.2431,14,1.8129,0
8.7439,9,-0.9682,0
9.3358,14,2.1865,0
8.8946,12,-0.1812,0
9.4543,16,2.0878,0
9.2311,17,0.9519,1
8.9792,14,1.365,0
8.6008,11,0.7702,0
8.4082,9,-1.855,0
8.9687,14,-0.2479,1
8.85,10,-0.5367,0
9.7504,17,1.7732,0
9.0501,13,0.4834,0
9.1012,14,0.6463,0
8.6467,12,-1.601,1
9.0815,14,-0.349,0
9.2121,12,0.1824,0
8.8896,11,0.2846,0
9.1426,14,0.0891,1
8.8899,14,0.8291,0
9.6131,16,1.2491,1
8.5462,10,-1.5482,0
8.3782,10,-1.3947,0
9.1016,13,-0.2669,0
8.695,9,-0.1089,0
8.5094,9,-0.3023,0
8.8434,14,-0.4454,1
8.5737,11,-1.7314,1
8.7839,12,-0.0544,0
8.5743,10,-0.2314,0
8.8084,13,-0.5238,1
8.6953,13,-1.0263,1
9.1961,16,2.1511,1
8.8309,13,-0.6898,1
8.4945,10,-0.7783,0
8.8196,10,0.3951,0
9.2995,14,0.5192,0
9.0256,14,-0.3613,1
9.4651,16,1.4065,1
9.0717,16,0.6669,1
8.638,11,-1.6256,0
9.5729,13,1.0406,0
9.2516,14,0.3759,1
9.8008,15,1.455,1
8.4971,10,-1.6235,1
9.0546,14,0.5333,1
8.8008,13,-0.8105,1
9.0442,14,0.1018,0
9.5212,15,1.0497,0
9.1446,15,-0.1098,1
8.7501,12,0.02,0
9.2023,15,0.9224,1
9.1236,13,1.0061,0
9.2709,13,0.1965,1
8.718,11,-0.644,1
9.474,16,0.7645,1
8.8916,15,0.2853,1
9.1186,14,1.7665,0
8.573,11,-1.1388,1
8.2384,9,-1.6033,1
9.3933,15,0.9563,0
9.0967,14,0.3225,1
9.5605,14,0.3242,1
9.3723,14,0.6324,0
9.2404,13,-1.1191,0
9.0005,13,-0.3675,1
9.0809,12,-0.7933,1
9.0383,12,0.7126,0
8.9157,12,-1.2463,1
9.4713,16,-0.0983,1
8.7634,13,-0.8015,1
9.2365,14,0.1349,1
9.4625,17,0.7438,1
9.4851,14,0.4862,1
8.9233,14,0.1819,0
8.7127,11,-0.9312,0
9.2477,12,-0.5422,0
9.252,12,-0.1783,0
9.3674,16,0.4893,1
8.7523,10,-0.4952,0
9.2502,14,-0.7528,1
9.5527,15,1.3692,0
8.4139,10,-2.0284,0
8.6443,8,-0.7812,0
9.2966,11,0.6397,0
8.6164,11,-0.8963,0
9.4218,13,0.2462,0
9.0849,14,-1.3409,1
9.2944,17,0.7719,1
8.5827,11,-0.8359,0
8.6522,12,-0.1291,0
9.3848,12,1.1887,0
9.0558,14,1.7471,0
9.5886,14,-0.7211,1
9.3011,16,0.2338,1
9.2997,14,1.3391,0
9.189,14,0.5245,0
9.7032,17,1.9045,1
9.241,17,0.8298,1
9.6667,16,1.2331,1
9.5052,16,1.0665,1
8.7167,11,-0.9072,0
9.2953,15,1.8294,1
9.1069,13,0.5394,0
9.6541,17,0.6304,1
8.4347,10,-2.3935,1
8.9164,10,-0.7936,0
