lwage,educ,educt_t,age,age2,female,white,first,dlwage,deduc,deduct
2.4795232,16.0,16.0,33.25119,11.056416,1.0,1.0,1.0,0.2593465,0.0,0.0
2.2201767,16.0,16.0,33.25119,11.056416,1.0,1.0,,-0.2593465,0.0,0.0
2.2282088,12.0,12.0,43.570145,18.983576,1.0,1.0,,-0.721318,-6.0,-4.0
2.9495268,18.0,16.0,43.570145,18.983576,1.0,1.0,1.0,0.721318,6.0,4.0
2.7284808,12.0,12.0,30.98391,9.600026,0.0,1.0,,-0.1298089,0.0,0.0
2.8582897,12.0,12.0,30.98391,9.600026,0.0,1.0,1.0,0.1298089,0.0,0.0
2.887312,14.0,14.333333,35.21127,12.3983345,0.0,1.0,,0.073764324,0.0,0.33333302
2.8135476,14.0,14.0,35.21127,12.3983345,0.0,1.0,1.0,-0.073764324,0.0,-0.33333302
2.091243,15.0,15.0,34.978775,12.2351465,1.0,1.0,,-1.5232601,2.0,2.0
3.6145031,13.0,13.0,34.978775,12.2351465,1.0,1.0,1.0,1.5232601,-2.0,-2.0
2.752376,14.0,14.0,29.669403,8.802735,0.0,1.0,,-0.34657335,1.0,-1.0
3.0989494,13.0,15.0,29.669403,8.802735,0.0,1.0,1.0,0.34657335,-1.0,1.0
2.0003371,12.0,12.0,47.80287,22.851145,1.0,1.0,,-0.23215294,0.0,0.0
2.23249,12.0,12.0,47.80287,22.851145,1.0,1.0,1.0,0.23215294,0.0,0.0
2.9069674,12.0,12.0,51.90143,26.937584,0.0,1.0,1.0,0.051751852,-1.0,-2.0
2.8552155,13.0,14.0,51.90143,26.937584,0.0,1.0,,-0.051751852,1.0,2.0
2.5440617,12.0,12.0,36.07666,13.015254,0.0,1.0,1.0,-0.28768206,0.0,0.0
2.8317437,12.0,12.0,36.07666,13.015254,0.0,1.0,,0.28768206,0.0,0.0
2.8080273,17.0,16.0,48.120453,23.155779,1.0,1.0,,-0.4700036,-1.0,-2.0
3.2780309,18.0,18.0,48.120453,23.155779,1.0,1.0,1.0,0.4700036,1.0,2.0
2.0318463,12.0,12.0,33.95482,11.529297,1.0,1.0,1.0,-0.30560136,-2.0,-2.0
2.3374476,14.0,14.0,33.95482,11.529297,1.0,1.0,,0.30560136,2.0,2.0
1.4823205,16.0,16.0,28.058634,7.8728695,1.0,1.0,,-0.4992845,0.0,0.0
1.981605,16.0,16.0,28.058634,7.8728695,1.0,1.0,1.0,0.4992845,0.0,0.0
2.7672052,14.0,12.0,39.34018,15.476497,0.0,1.0,1.0,0.6286087,2.0,-2.0
2.1385965,12.0,14.0,39.34018,15.476497,0.0,1.0,,-0.6286087,-2.0,2.0
2.9686499,12.666667,12.333333,39.1775,15.348766,0.0,1.0,,0.20308852,0.33333397,-0.33333397
2.7655613,12.333333,12.666667,39.1775,15.348766,0.0,1.0,1.0,-0.20308852,-0.33333397,0.33333397
2.493912,17.0,17.0,23.682404,5.6085625,1.0,1.0,1.0,-0.37865376,1.0,1.0
2.8725657,16.0,16.0,23.682404,5.6085625,1.0,1.0,,0.37865376,-1.0,-1.0
2.7374332,12.0,12.0,35.66324,12.718666,1.0,1.0,1.0,0.07855582,-3.0,-2.0
2.6588774,15.0,14.0,35.66324,12.718666,1.0,1.0,,-0.07855582,3.0,2.0
2.227465,14.5,14.5,21.674873,4.6980014,0.0,0.0,1.0,0.20751739,0.0,0.0
2.0199475,14.5,14.5,21.674873,4.6980014,0.0,0.0,,-0.20751739,0.0,0.0
2.856436,12.0,12.0,33.63997,11.316475,1.0,1.0,,0.4946959,0.0,0.0
2.36174,12.0,12.0,33.63997,11.316475,1.0,1.0,1.0,-0.4946959,0.0,0.0
2.0470295,14.0,16.0,24.640656,6.071619,1.0,1.0,1.0,-0.49703217,-2.0,2.0
2.5440617,16.0,14.0,24.640656,6.071619,1.0,1.0,,0.49703217,2.0,-2.0
2.0262675,12.0,12.0,46.365494,21.497591,1.0,1.0,1.0,0.16705418,0.0,0.0
1.8592134,12.0,12.0,46.365494,21.497591,1.0,1.0,,-0.16705418,0.0,0.0
1.8740172,16.0,16.0,44.427444,19.737978,0.0,1.0,,-1.2531526,-2.0,-2.0
3.1271698,18.0,18.0,44.427444,19.737978,0.0,1.0,1.0,1.2531526,2.0,2.0
3.683496,12.0,12.0,61.87268,38.282284,0.0,0.0,,2.014903,0.0,0.0
1.668593,12.0,12.0,61.87268,38.282284,0.0,0.0,1.0,-2.014903,0.0,0.0
1.668593,16.0,16.0,24.117722,5.8166447,0.0,1.0,,-1.5040773,0.0,0.0
3.1726704,16.0,16.0,24.117722,5.8166447,0.0,1.0,1.0,1.5040773,0.0,0.0
2.5440617,14.0,12.0,32.5941,10.623754,0.0,1.0,1.0,0.08701134,3.0,1.0
2.4570503,11.0,11.0,32.5941,10.623754,0.0,1.0,,-0.08701134,-3.0,-1.0
2.8522882,12.0,12.0,54.284504,29.468073,0.0,1.0,1.0,0.31735063,0.0,0.0
2.5349376,12.0,12.0,54.284504,29.468073,0.0,1.0,,-0.31735063,0.0,0.0
2.7999952,12.0,12.0,39.61943,15.696992,0.0,0.0,1.0,-0.4780357,-6.0,-4.0
3.2780309,18.0,16.0,39.61943,15.696992,0.0,0.0,,0.4780357,6.0,4.0
3.0315688,16.0,16.0,22.07254,4.87197,0.0,0.0,1.0,1.034074,0.0,0.0
1.9974948,16.0,16.0,22.07254,4.87197,0.0,0.0,,-1.034074,0.0,0.0
2.4804425,12.0,12.0,38.013,14.449882,1.0,1.0,1.0,-0.12809229,0.0,0.0
2.6085348,12.0,12.0,38.013,14.449882,1.0,1.0,,0.12809229,0.0,0.0
2.157337,12.0,12.0,54.212406,29.389849,0.0,1.0,1.0,-0.86797285,-2.0,-2.0
3.0253098,14.0,14.0,54.212406,29.389849,0.0,1.0,,0.86797285,2.0,2.0
2.7672052,16.0,16.0,28.32306,8.021956,1.0,1.0,1.0,0.108216524,0.0,0.0
2.6589887,16.0,16.0,28.32306,8.021956,1.0,1.0,,-0.108216524,0.0,0.0
2.0050652,12.0,12.0,29.861725,8.917226,1.0,1.0,,0.14585185,0.0,-1.0
1.8592134,12.0,13.0,29.861725,8.917226,1.0,1.0,1.0,-0.14585185,0.0,1.0
2.8109736,16.0,16.0,36.992813,13.684683,0.0,1.0,,0.8106365,2.0,2.5
2.0003371,14.0,13.5,36.992813,13.684683,0.0,1.0,1.0,-0.8106365,-2.0,-2.5
3.1884189,18.0,16.0,44.23271,19.565329,1.0,0.0,,-0.60043764,0.0,2.0
3.7888565,18.0,14.0,44.23271,19.565329,1.0,0.0,1.0,0.60043764,0.0,-2.0
1.6040546,16.0,16.0,22.154678,4.9082975,1.0,1.0,1.0,0.13391256,0.0,0.0
1.470142,16.0,16.0,22.154678,4.9082975,1.0,1.0,,-0.13391256,0.0,0.0
3.0548873,13.0,13.0,40.04927,16.03944,1.0,1.0,1.0,-0.09638739,0.0,0.0
